idx,raw_id,original_sentence,standard_negation,sn_절1,sn_절2,sn_절3,local_negation_type,local_negation,local_부정요소,ln_절1,ln_절2,contradiction,paraphrase,note
34,413697,"방탄소년단은 11월 24일 세계적인 DJ 스티브 아오키와 래퍼 디자이너가 참여한 ""MIC Drop"" 리믹스 버전을 발매하였고, ""MIC Drop""의 리믹스 버전은 빌보드 핫 100 차트에 28위로 첫 진입했다.","방탄소년단은 11월 24일 세계적인 DJ 스티브 아오키와 래퍼 디자이너가 참여한 ""MIC Drop"" 리믹스 버전을 발매하지 못했거나, ""MIC Drop""의 리믹스 버전은 빌보드 핫 100 차트에 28위로 첫 진입하지 못했다.",못 장형,못 장형,,대등절 일부,"방탄소년단은 11월 24일 세계적인 DJ 스티브 아오키와 래퍼 디자이너가 참여한 ""MIC Drop"" 리믹스 버전을 발매하였고, ""MIC Drop""의 리믹스 버전은 빌보드 핫 100 차트에 28위로 첫 진입하지 못했다.",MIC Drop의 리믹스 버전은 빌보드 핫 100 차트에 28위로 첫 진입했다,못 장형,,"방탄소년단은 12월 24일 세계적인 DJ 스티브 아오키와 래퍼 디자이너가 참여한 ""MIC Drop"" 리믹스 버전을 발매하였고, ""MIC Drop""의 리믹스 버전은 빌보드 핫 100 차트에 1위로 첫 진입했다.","방탄소년단이 11월 24일 스티브 아오키와 디자이너가 참여한 ‘MIC Drop’ 리믹스를 공개했고, 이 곡은 빌보드 핫 100 차트에 처음 등재된 순위는 28위였다.",
35,437801,"LG 옵티머스 패드 LTE는 2012년 1월에 출시된 안드로이드 태블릿 컴퓨터이며, 출시된 이후 업그레이드되지 않았다.","LG 옵티머스 패드 LTE는 2012년 1월에 출시된 안드로이드 태블릿 컴퓨터가 아니거나, 출시된 이후 업그레이드되었다.",아니다,,,대등절 일부,"LG 옵티머스 패드 LTE는 2012년 1월에 출시된 안드로이드 태블릿 컴퓨터이며, 출시된 이후 업그레이드되었다.",출시된 이후 업그레이드되지 않았다,,,"LG 옵티머스 패드 LTE는 2013년 1월에 출시된 안드로이드 태블릿 컴퓨터이며, 출시된 이후 여러 차례의 업그레이드 과정을 겪었다.",2012년 1월에 선보인 안드로이드 태블릿 LG 옵티머스 패드 LTE는 이후로 업그레이드를 받지 않았다.,
36,564643,"마이크 콘리는 레이저백스에 소속되어 TAC 타이틀을 우승하였고, 1985년 월드컵 멀리뛰기에서 1위를 기록하였다.","마이크 콘리는 레이저백스에 소속되어 TAC 타이틀을 우승하지 못했거나, 1985년 월드컵 멀리뛰기에서 1위를 기록하지 못했다.",못 장형,못 장형,,부사절,"마이크 콘리는 레이저백스에 소속되지 않아 TAC 타이틀을 우승하였고, 1985년 월드컵 멀리뛰기에서 1위를 기록하였다.",레이저백스에 소속되어,안 장형,,"마이크 콘리는 레이저백스에 소속되어 TAC 타이틀 예선에서 탈락하였고, 1985년 월드컵 멀리뛰기에서 최하위를 기록하였다.","마이크 콘리는 레이저백스 소속으로 TAC 타이틀을 차지했고, 1985년 월드컵 멀리뛰기에서 우승했다.",
37,275244,스팅은 어릴 적 가까운 조선소가 인상적이라고 느꼈지만 왕대비가 롤스 로이스를 타고 지나가며 손을 흔드는 모습을 보고 더 화려한 삶을 꿈꾸기 시작했다.,"스팅은 어릴 적 가까운 조선소가 인상적이라고 느끼지 않았거나, 왕대비가 롤스 로이스를 타고 지나가며 손을 흔드는 모습을 보고 더 화려한 삶을 꿈꾸기 시작하지 않았다.",안 장형,안 장형,,인용절,스팅은 어릴 적 가까운 조선소가 인상적이지 않다고 느꼈지만 왕대비가 롤스 로이스를 타고 지나가며 손을 흔드는 모습을 보고 더 화려한 삶을 꿈꾸기 시작했다.,조선소가 인상적이라고,안 장형,,스팅은 어릴 적 가까운 조선소가 초라하다고 느꼈고 왕대비가 롤스 로이스를 타고 지나가며 손을 흔드는 모습을 보고 더 소박한 삶을 꿈꾸기 시작했다.,"어린 시절 스팅은 근처 조선소에 깊은 인상을 받았으나, 롤스 로이스를 타고 손을 흔들며 지나가는 왕대비를 본 뒤 더 화려한 삶을 동경하게 되었다.",
38,490912,"에콰도르 동부 오레야나 주의 주도인 푸에르토프란시스코데오레야나는 면적 146.26km2, 해발 300m에 인구 45,163명을 가진 도시이며 엘코카라고 불린다.","에콰도르 동부 오레야나 주의 주도인 푸에르토프란시스코데오레야나는, 면적 146.26km2, 해발 300m에 인구 45,163명을 가진 도시가 아니거나 엘코카라고 불리지 않는다.",아니다,안 장형,,관형절,"에콰도르 동부 오레야나 주의 주도가 아닌 푸에르토프란시스코데오레야나는 면적 146.26km2, 해발 300m에 인구 45,163명을 가진 도시이며 엘코카라고 불린다.",에콰도르 동부 오레야나 주의 주도인,아니다,,"에콰도르 서부 오레야나 주의 주도인 푸에르토프란시스코데오레야나는 100km2가 안 되는 면적에, 40,000명 이하의 인구를 가진 도시이며 엘코카라고도 불린다.","엘코카로도 불리는 푸에르토프란시스코데오레야나는 에콰도르 동부 오레야나 주의 주도로, 면적 146.26㎢, 해발 300m, 인구 45,163명의 도시다.",
39,813687,피로스마니는 지오지 쉥겔라야 감독이 1969년에 러시아에서 제작한 영화이며 아브탄딜 바라지가 피로스마니의 주연을 맡았다.,피로스마니는 지오지 쉥겔라야 감독이 1969년에 러시아에서 제작한 영화가 아니거나 아브탄딜 바라지가 피로스마니의 주연을 안 맡았다.,아니다,안 단형,,대등절 일부,피로스마니는 지오지 쉥겔라야 감독이 1969년에 러시아에서 제작한 영화이며 아브탄딜 바라지가 피로스마니의 주연을 못 맡았다.,아브탄딜 바라지가 피로스마니의 주연을 맡았다,못 단형,,피로스마니는 지오지 쉥겔라야 감독이 1973년에 조지아에서 제작한 영화이며 아브탄딜 바라지가 피로스마니의 단역을 맡았다.,아브탄딜 바라지가 주연을 맡은 ‘피로스마니’는 지오지 쉥겔라야가 1969년 러시아에서 감독한 영화다.,
40,584041,제왕나비는 캐나다 남부에서 중앙아메리카에 걸쳐 분포하는 왕나비류의 일종이며 여러 지역에서 다양한 이름으로 불린다.,제왕나비는 캐나다 남부에서 중앙아메리카에 걸쳐 분포하는 왕나비류의 일종이 아니거나 여러 지역에서 다양한 이름으로 불리지 않는다.,아니다,안 장형,,대등절 일부,제왕나비는 캐나다 남부에서 중앙아메리카에 걸쳐 분포하는 왕나비류의 일종이 아니며 여러 지역에서 다양한 이름으로 불린다.,제왕나비는 캐나다 남부에서 중앙아메리카에 걸쳐 분포하는 왕나비류의 일종이며,아니다,,제왕나비는 남극과 오세아니아 전역에 걸쳐 분포하는 나방류의 일종이며 모든 지역에서 단 하나의 이름으로 불린다.,"제왕나비는 왕나비류에 속하는 종으로 캐나다 남부부터 중앙아메리카까지 서식하며, 지역에 따라 다양한 이름으로 불린다.",
41,38870,북해는 유럽 대륙붕에 위치한 대서양 동북부의 부속해이며 발트해와 접해 있다.,북해는 유럽 대륙붕에 위치한 대서양 동북부의 부속해가 아니거나 발트해와 접해 있지 않다.,아니다,안 장형,,대등절 일부,북해는 유럽 대륙붕에 위치한 대서양 동북부의 부속해이며 발트해와 접해 있지 않다.,발트해와 접해 있다,안 장형,,북해는 북미 대륙붕에 위치한 대서양 서남부의 부속해이며 카리브해와 접해 있다.,"북해는 대서양 동북부의 유럽 대륙붕 위에 놓인 부속해로, 발트해와 인접해 있다.",
42,262175,2008년 하계 올림픽에 감비아 선수단이 3명의 선수를 파견하여 참가하였다.,2008년 하계 올림픽에 감비아 선수단이 3명의 선수를 파견하여 참가하지 않았다.,안 장형,,,부사절,2008년 하계 올림픽에 감비아 선수단이 3명의 선수를 파견하지 않아 참가하였다.,3명의 선수를 파견하여,안 장형,,2008년 하계 올림픽에는 감비아 선수단 소속의 선수가 단 1명이었다.,감비아는 2008년 하계 올림픽에 세 명의 선수를 보내 출전했다.,삭제 후보
43,420576,윌 스미스가 빌런으로 캐스팅된 <수어사이드 스쿼드>는 워너 브라더스가 배급을 맡아 2016년 8월 5일 개봉하였다.,윌 스미스가 빌런으로 캐스팅된 <수어사이드 스쿼드>는 워너 브라더스가 배급을 맡아 2016년 8월 5일 개봉하지 못했다.,못 장형,,,부사절,윌 스미스가 빌런으로 캐스팅된 <수어사이드 스쿼드>는 워너 브라더스가 배급을 맡지 않아 2016년 8월 5일 개봉하였다.,워너 브라더스가 배급을 맡아,안 장형,,윌 스미스의 출연이 불발된 <수어사이드 스쿼드>는 파라마운트 픽처스가 배급을 맡아 2017년 12월 25일 개봉하였다.,윌 스미스가 악역으로 출연한 <수어사이드 스쿼드>는 워너 브라더스 배급으로 2016년 8월 5일에 개봉했다.,
44,342138,1976년 5월 3일에 태어난 최영완은 전 KIA 타이거즈 소속의 KBO 리그 투수이다.,1976년 5월 3일에 태어난 최영완은 전 KIA 타이거즈 소속의 KBO 리그 투수가 아니다.,아니다,,,관형절,1976년 5월 3일에 안 태어난 최영완은 전 KIA 타이거즈 소속의 KBO 리그 투수이다.,1976년 5월 3일에 태어난,안 단형,,1976년 5월 3일에 태어난 최영완은 현재 KIA 타이거즈에 소속되어 있는 투수이다.,"1976년 5월 3일 출생인 최영완은 KBO 리그의 투수로, 과거 KIA 타이거즈 소속이었다.",
45,799552,"대한민국의 가수이자 아이에스티엔터테인먼트 소속인 오준석은 보이 그룹 에이티비오의 리더, 메인래퍼이자 아이돌 댄서 그룹 더크루원의 멤버이다.","대한민국의 가수이자 아이에스티엔터테인먼트 소속인 오준석은 보이 그룹 에이티비오의 리더가 아니거나, 보이 그룹 에이티비오의 메인 래퍼가 아니거나, 아이돌 댄서 그룹 더크루원의 멤버가 아니다.",아니다,아니다,아니다,대등절 일부,"대한민국의 가수이자 아이에스티엔터테인먼트 소속인 오준석은 보이 그룹 에이티비오의 리더가 아니거나, 보이 그룹 에이티비오의 메인 래퍼가 아니며, 아이돌 댄서 그룹 더크루원의 멤버이다.","보이 그룹 에이티비오의 리더, 메인래퍼이자",아니다,아니다,"대한민국의 가수이자 아이에스티엔터테인먼트 소속인 오준석은 보이 그룹 에이티비오의 리더, 메인래퍼이자 아이돌 댄서 그룹 더크루원에서 탈퇴한 전 멤버이다.","아이에스티엔터테인먼트 소속의 대한민국 가수 오준석은 보이그룹 에이티비오에서 리더이자 메인 래퍼의 역할을 하며, 아이돌 댄서 그룹 더크루원의 멤버이기도 하다.",
46,410777,"임진왜란과 1842년 화재, 6.25동란을 거치며 많은 건물이 소실되었다.","임진왜란과 1842년 화재, 6.25동란을 거치며 많은 건물이 소실되지 않았다.",안 장형,,,부사절,"임진왜란이나 1842년 화재, 또는 6.25동란을 안 거치면서 많은 건물이 소실되었다.","임진왜란과 1842년 화재, 6.25동란을 거치며",안 단형,,"임진왜란과 1842년 화재, 6.25동란을 거쳤음에도 모든 건물이 온전히 보존되었다.","임진왜란과 1842년의 화재, 그리고 6·25 동란을 겪는 동안 많은 건물이 사라졌다.",
47,533173,아이즈카와구치역은 일본 후쿠시마현 오누마군 가네야마 정에 위치하며 섬식 승강장 1면 2선의 지상 구조를 가진다.,아이즈카와구치역은 일본 후쿠시마현 오누마군 가네야마 정에 위치하지 않거나 섬식 승강장 1면 2선의 지상 구조를 가지지 않는다.,안 장형,안 장형,,대등절 일부,아이즈카와구치역은 일본 후쿠시마현 오누마군 가네야마 정에 위치하며 섬식 승강장 1면 2선의 지상 구조를 가지지 않는다.,섬식 승강장 1면 2선의 지상 구조를 가진다,안 장형,,아이즈카와구치역은 일본 도쿄도 치요다구에 위치하며 상대식 승강장 2면 2선의 고가 구조를 가진다.,"아이즈카와구치역은 일본 후쿠시마현 오누마군 가네야마정에 위치한 지상역으로, 섬식 1면과 2선의 승강장을 갖추고 있다.",
